Name,Address,latitude,longitude,Google_Maps_Link,pincode
SV medicos,"SV medicos, ATI Road, Ludhiana, Daba - 141003, Punjab, India",30.8748533,75.8669553,"https://www.google.com/maps?q=30.8748533,75.8669553",141003
,"Back Side Road Om Sweets, Sector 14, Gurugram - 122001, Haryana, India",28.4742925,77.047765,"https://www.google.com/maps?q=28.4742925,77.047765",122001
,"Delhi-Gurugram Expressway, Sector 15-I, Gurugram - 122001, Haryana, India",28.4541495,77.0393347,"https://www.google.com/maps?q=28.4541495,77.0393347",122001
,"Abdul Gaffar Khan Marg, Mehrauli, Delhi - 110070, India",28.5097958,77.1676347,"https://www.google.com/maps?q=28.5097958,77.1676347",110070
,"MDR142W, Etawah, Bakewar - 206124, Uttar Pradesh, India",26.6594688,79.1747358,"https://www.google.com/maps?q=26.6594688,79.1747358",206124
,"Hanuman Mandir Road, Sector 11A, Gurugram - 122001, Haryana, India",28.46193,77.031011,"https://www.google.com/maps?q=28.46193,77.031011",122001
Gardian Pharmacy,"Gardian Pharmacy, Block B, Sector 49, Gurugram - 122018, Haryana, India",28.4169284,77.0467817,"https://www.google.com/maps?q=28.4169284,77.0467817",122018
,"Lilac Road, Sector 49, Gurugram - 122018, Haryana, India",28.4174128,77.0511674,"https://www.google.com/maps?q=28.4174128,77.0511674",122018
,"8th Main Road, Jayanagar, Bengaluru - 560011, Karnataka, India",12.9314045,77.5924636,"https://www.google.com/maps?q=12.9314045,77.5924636",560011
,"1st Main Road, Indiranagar, Bengaluru - 560071, Karnataka, India",12.9601717,77.6387672,"https://www.google.com/maps?q=12.9601717,77.6387672",560071
,"1st Main Road, Indiranagar, Bengaluru - 560071, Karnataka, India",12.9603255,77.638371,"https://www.google.com/maps?q=12.9603255,77.638371",560071
Ashwin Pharma,"Ashwin Pharma, HAL Old Airport Road, Indiranagar, Bengaluru - 560017, Karnataka, India",12.9600171,77.6454021,"https://www.google.com/maps?q=12.9600171,77.6454021",560017
MedPlus,"MedPlus, 1st Main Road, Indiranagar, Bengaluru - 560071, Karnataka, India",12.9605409,77.6372314,"https://www.google.com/maps?q=12.9605409,77.6372314",560071
,"1st A Main Road, Bengaluru Central City Corporation, Bengaluru - 560071, Karnataka, India",12.9600511,77.6371358,"https://www.google.com/maps?q=12.9600511,77.6371358",560071
